# Tradução pt-BR do Caelestia shell — interface do dia a dia (modules/nexus fica de fora).
# Formato: <inglês><TAB><português>. Linhas com # e linhas vazias são ignoradas.
# O texto deve ser escrito exatamente como aparece no QML, inclusive escapes (\" e \n).
# Strings ausentes daqui ficam em inglês de propósito (nomes próprios, siglas, termos consagrados).
#
# --- placeholders e contadores ---
 (%1 connected)	 (%1 conectado)
Try searching for something else	Tente buscar outra coisa
Try switching to a window	Tente alternar para uma janela
Move to workspace	Mover para workspace
Selected candidate: %1 | %2 | %3	Candidato selecionado: %1 | %2 | %3
Kill	Encerrar
Game mode enabled	Modo jogo ativado
Game mode disabled	Modo jogo desativado
Disabled Hyprland animations, blur, gaps and shadows	Animações, desfoque, espaçamentos e sombras do Hyprland desativados
Hyprland settings restored	Configurações do Hyprland restauradas
All up to date!	Tudo atualizado!
#
# --- esquemas de cor (Material You) ---
Vibrant	Vibrante
Expressive	Expressivo
Fidelity	Fidelidade
Content	Conteúdo
Fruit Salad	Salada de Frutas
Rainbow	Arco-íris
Neutral	Neutro
Monochrome	Monocromático
A high chroma palette. The primary palette's chroma is at maximum.	Uma paleta de croma alto. O croma da paleta primária está no máximo.
Default for Material theme colours. A pastel palette with a low chroma.	Padrão das cores do tema Material. Uma paleta pastel de croma baixo.
A medium chroma palette. The primary palette's hue is different from the seed colour, for variety.	Uma paleta de croma médio. O matiz da paleta primária difere da cor base, para dar variedade.
Matches the seed colour, even if the seed colour is very bright (high chroma).	Segue a cor base, mesmo que ela seja muito viva (croma alto).
Almost identical to fidelity.	Quase idêntico ao Fidelidade.
A playful theme - the seed colour's hue does not appear in the theme.	Um tema brincalhão — o matiz da cor base não aparece no tema.
Close to grayscale, a hint of chroma.	Perto da escala de cinza, com um toque de croma.
All colours are grayscale, no chroma.	Todas as cores em escala de cinza, sem croma.
Now using: %1	Usando agora: %1
#
# --- papel de parede e arquivos ---
No wallpapers found	Nenhum papel de parede encontrado
Try putting some wallpapers in %1	Coloque alguns papéis de parede em %1
Wallpaper missing?	Papel de parede sumiu?
Set it now!	Defina agora!
Select a wallpaper	Selecione um papel de parede
Select a profile picture	Selecione uma foto de perfil
Select a file	Selecione um arquivo
Select	Selecionar
Cancel	Cancelar
Delete	Excluir
Back	Voltar
Files	Arquivos
Desktop	Área de trabalho
Filter:	Filtro:
Image files	Arquivos de imagem
This folder is empty	Esta pasta está vazia
Loading...	Carregando...
#
# --- tela de bloqueio / autenticação ---
Password	Senha
Enter password	Digite a senha
Enter your password	Digite sua senha
Incorrect password. Please try again.	Senha incorreta. Tente novamente.
Incorrect password. Please try again or use face.	Senha incorreta. Tente novamente ou use o rosto.
Incorrect password. Please try again or use fingerprint.	Senha incorreta. Tente novamente ou use a digital.
Scanning face...	Lendo o rosto...
Face not recognized (%1/%2). Please try again.	Rosto não reconhecido (%1/%2). Tente novamente.
Face not recognized (%1/%2). Please try again or use password.	Rosto não reconhecido (%1/%2). Tente novamente ou use a senha.
Fingerprint not recognized (%1/%2). Please try again.	Digital não reconhecida (%1/%2). Tente novamente.
Fingerprint not recognized (%1/%2). Please try again or use password.	Digital não reconhecida (%1/%2). Tente novamente ou use a senha.
Maximum attempts for all authentication methods reached.	Número máximo de tentativas atingido em todos os métodos de autenticação.
Maximum face attempts reached. Please use password.	Máximo de tentativas por rosto atingido. Use a senha.
Maximum fingerprint attempts reached. Please use password.	Máximo de tentativas por digital atingido. Use a senha.
Maximum password attempts reached.	Máximo de tentativas de senha atingido.
Maximum password attempts reached. Please use face.	Máximo de tentativas de senha atingido. Use o rosto.
Maximum password attempts reached. Please use fingerprint.	Máximo de tentativas de senha atingido. Use a digital.
Max tries reached	Máximo de tentativas atingido
FACE ERROR: %1	ERRO DE ROSTO: %1
FP ERROR: %1	ERRO DE DIGITAL: %1
PW ERROR: %1	ERRO DE SENHA: %1
Reason: %1	Motivo: %1
#
# --- teclado (caps/num lock, layouts) ---
Caps lock enabled	Caps lock ativado
Caps lock disabled	Caps lock desativado
Caps lock is currently enabled	O Caps lock está ativado
Caps lock is currently disabled	O Caps lock está desativado
Caps lock is ON.	Caps lock está LIGADO.
Caps lock is ON. Kb layout: %1	Caps lock está LIGADO. Layout: %1
Caps lock and Num lock are ON.	Caps lock e Num lock estão LIGADOS.
Caps lock and Num lock are ON.\nKeyboard layout: %1	Caps lock e Num lock estão LIGADOS.\nLayout do teclado: %1
Num lock enabled	Num lock ativado
Num lock disabled	Num lock desativado
Num lock is currently enabled	O Num lock está ativado
Num lock is currently disabled	O Num lock está desativado
Num lock is ON.	Num lock está LIGADO.
Num lock is ON. Kb layout: %1	Num lock está LIGADO. Layout: %1
Keyboard Layouts	Layouts de teclado
Keyboard layout: %1	Layout do teclado: %1
Keyboard layout changed	Layout do teclado alterado
Keyboard layout limit	Limite de layouts de teclado
Layout changed to: %1	Layout alterado para: %1
XKB supports only 4 layouts at a time	O XKB suporta no máximo 4 layouts por vez
#
# --- janelas / barra ---
No active client	Nenhuma janela ativa
No description	Sem descrição
Unnamed	Sem nome
Unknown	Desconhecido
Pin	Fixar
Unpin	Desafixar
Pinned: %1	Fixado: %1
Float	Flutuar
Tile	Encaixar
Floating: %1	Flutuante: %1
Fullscreen	Tela cheia
Fullscreen state: %1	Estado de tela cheia: %1
Fullscreen state: unknown	Estado de tela cheia: desconhecido
Initial class: %1	Classe inicial: %1
Initial title: %1	Título inicial: %1
Monitor: %1 (%2) at %3, %4	Monitor: %1 (%2) em %3, %4
Monitor: unknown	Monitor: desconhecido
Position: %1, %2	Posição: %1, %2
Size: %1 x %2	Tamanho: %1 x %2
Process id: %1	ID do processo: %1
Active since %1	Ativo desde %1
#
# --- sidebar / widgets / config ---
Quick Toggles	Ações rápidas
No widgets enabled	Nenhum widget ativado
Enable widgets in the dashboard settings	Ative os widgets nas configurações do painel
Config loaded	Configuração carregada
Config loaded successfully!	Configuração carregada com sucesso!
Failed to parse config%1	Falha ao interpretar a configuração%1
Failed to parse token config%1	Falha ao interpretar a configuração de tokens%1
Failed to save config%1	Falha ao salvar a configuração%1
Unknown option in%1 config	Opção desconhecida na configuração%1
Unknown option in%1 token config	Opção desconhecida na configuração de tokens%1
Could not start %1. Is it installed?	Não foi possível iniciar %1. Ele está instalado?
Audio input changed	Entrada de áudio alterada
Audio output changed	Saída de áudio alterada
